provider_id,npi,specialty,state
PRV000001,1450062022,Pediatrics,OK
PRV000002,1323167191,Family Medicine,MT
PRV000003,1113240424,Radiology,TX
PRV000004,1220637556,Pediatrics,VT
PRV000005,1841528170,OBGYN,IL
PRV000006,1617363698,Radiology,NM
PRV000007,1477641054,Emergency Medicine,UT
PRV000008,1880822470,Dermatology,IA
PRV000009,1983123165,Psychiatry,OH
PRV000010,1975876705,Emergency Medicine,KY
PRV000011,1017032789,Dermatology,TX
PRV000012,1118748016,Cardiology,OR
PRV000013,1756061938,Psychiatry,WI
PRV000014,1085274582,OBGYN,RI
PRV000015,1726746073,Internal Medicine,ND
PRV000016,1170246420,Internal Medicine,MO
PRV000017,1964422508,Pediatrics,RI
PRV000018,1841979274,Orthopedics,NY
PRV000019,1723882828,Pediatrics,IN
PRV000020,1849813702,Internal Medicine,MD
PRV000021,1068854284,Family Medicine,MA
PRV000022,1693244341,Radiology,OH
PRV000023,1480377465,Internal Medicine,MN
PRV000024,1823097466,Radiology,CO
PRV000025,1153981604,Pediatrics,AL
PRV000026,1932976940,Radiology,ND
PRV000027,1770520715,Dermatology,CA
PRV000028,1987489654,Emergency Medicine,MO
PRV000029,1733081856,Emergency Medicine,MT
PRV000030,1365137907,Family Medicine,KY
PRV000031,1713569414,Radiology,NE
PRV000032,1412088405,Emergency Medicine,MI
PRV000033,1039079998,Emergency Medicine,ND
PRV000034,1056287253,Emergency Medicine,VA
PRV000035,1496722619,Pediatrics,IL
PRV000036,1405456644,Cardiology,NJ
PRV000037,1328304427,OBGYN,KS
PRV000038,1001569936,Psychiatry,FL
PRV000039,1605617089,Family Medicine,NJ
PRV000040,1882266168,Radiology,NJ
PRV000041,1086570569,Cardiology,VA
PRV000042,1957490482,Radiology,HI
PRV000043,1214379712,Emergency Medicine,CT
PRV000044,1123456451,OBGYN,HI
PRV000045,1704139999,Pediatrics,HI
PRV000046,1289954436,OBGYN,OK
PRV000047,1333178383,Emergency Medicine,OH
PRV000048,1127042182,Psychiatry,WY
PRV000049,1342755238,Pediatrics,NE
PRV000050,1493964428,Internal Medicine,CA
PRV000051,1926670227,Orthopedics,CA
PRV000052,1372980621,Internal Medicine,WA
PRV000053,1482176784,Radiology,NJ
PRV000054,1537632725,OBGYN,GA
PRV000055,1255571782,Emergency Medicine,MO
PRV000056,1083364945,Orthopedics,MN
PRV000057,1213418994,Pediatrics,NH
PRV000058,1377929364,Psychiatry,FL
PRV000059,1238594225,Emergency Medicine,CO
PRV000060,1714672494,Psychiatry,PA
PRV000061,1305486687,Family Medicine,IN
PRV000062,1540997371,Family Medicine,SC
PRV000063,1826260876,Dermatology,OK
PRV000064,1946185743,Dermatology,NV
PRV000065,1336815030,Internal Medicine,TX
PRV000066,1321658319,Emergency Medicine,KS
PRV000067,1720424049,OBGYN,OK
PRV000068,1335743325,Pediatrics,NV
PRV000069,1231646605,OBGYN,MS
PRV000070,1862314722,Radiology,KY
PRV000071,1690220228,Dermatology,AK
PRV000072,1684532078,Psychiatry,NV
PRV000073,1874816368,Radiology,KS
PRV000074,1452651229,Dermatology,OR
PRV000075,1272894989,Orthopedics,ID
PRV000076,1605679442,Emergency Medicine,TN
PRV000077,1608330235,Emergency Medicine,WA
PRV000078,1408988958,Cardiology,GA
PRV000079,1151138381,Orthopedics,CA
PRV000080,1323788863,Cardiology,PA
PRV000081,1935886881,Family Medicine,OH
PRV000082,1069792235,Dermatology,IA
PRV000083,1147403317,Emergency Medicine,NY
PRV000084,1063180654,Orthopedics,WA
PRV000085,1622714937,Dermatology,FL
PRV000086,1513863502,OBGYN,DE
PRV000087,1655046451,Radiology,IA
PRV000088,1229303869,Radiology,MA
PRV000089,1613053986,Emergency Medicine,MS
PRV000090,1644407745,Internal Medicine,NH
PRV000091,1340022815,Dermatology,NV
PRV000092,1277643730,Family Medicine,CO
PRV000093,1219780568,Radiology,ND
PRV000094,1143468056,Pediatrics,AR
PRV000095,1839989533,Radiology,VT
PRV000096,1774290417,Orthopedics,ID
PRV000097,1431803223,Family Medicine,MT
PRV000098,1968353502,Radiology,AZ
PRV000099,1196719099,Dermatology,MI
PRV000100,1645757113,Cardiology,WA
PRV000101,1995986936,Emergency Medicine,KY
PRV000102,1865922322,Pediatrics,MN
PRV000103,1249093317,Orthopedics,SD
PRV000104,1882219729,Dermatology,PA
PRV000105,1919628318,OBGYN,AK
PRV000106,1809797352,Emergency Medicine,KS
PRV000107,1038801493,OBGYN,TX
PRV000108,1721638233,Internal Medicine,ND
PRV000109,1642976792,Emergency Medicine,NJ
PRV000110,1984234046,OBGYN,NE
PRV000111,1160684159,Orthopedics,AK
PRV000112,1492140773,Cardiology,MD
PRV000113,1367529380,Psychiatry,NV
PRV000114,1214579415,Family Medicine,VA
PRV000115,1376797651,Internal Medicine,UT
PRV000116,1145946887,Pediatrics,AK
PRV000117,1430466709,Orthopedics,OH
PRV000118,1470224988,Family Medicine,NE
PRV000119,1709635122,OBGYN,CO
PRV000120,1372367765,Psychiatry,IA
PRV000121,1083883606,OBGYN,DE
PRV000122,1404267190,Psychiatry,NJ
PRV000123,1858756693,Dermatology,MI
PRV000124,1144380104,Emergency Medicine,SD
PRV000125,1478173215,Cardiology,MT
PRV000126,1922378437,Cardiology,CO
PRV000127,1985763017,Emergency Medicine,NH
PRV000128,1271224018,OBGYN,AL
PRV000129,1537783401,Radiology,MS
PRV000130,1208080069,Internal Medicine,ND
PRV000131,1770298050,Cardiology,NY
PRV000132,1971605800,Psychiatry,TX
PRV000133,1392038567,Psychiatry,IN
PRV000134,1365665256,Orthopedics,NC
PRV000135,1130677683,Family Medicine,KS
PRV000136,1571283865,Dermatology,MD
PRV000137,1591396546,Dermatology,CT
PRV000138,1419184112,Cardiology,MD
PRV000139,1372885221,Radiology,UT
PRV000140,1659350314,Family Medicine,GA
PRV000141,1924297753,Family Medicine,AZ
PRV000142,1850666258,Emergency Medicine,IL
PRV000143,1262536640,Internal Medicine,ND
PRV000144,1304158358,Family Medicine,VA
PRV000145,1055530132,Dermatology,OR
PRV000146,1958936833,Radiology,MO
PRV000147,1551808588,Psychiatry,CA
PRV000148,1312439544,Psychiatry,NE
PRV000149,1420672465,Emergency Medicine,UT
PRV000150,1085727488,Psychiatry,AL
PRV000151,1766935794,Internal Medicine,NJ
PRV000152,1294522271,Psychiatry,RI
PRV000153,1685298497,Orthopedics,NY
PRV000154,1201660749,Dermatology,PA
PRV000155,1480751097,OBGYN,MN
PRV000156,1508116786,Family Medicine,NV
PRV000157,1278284895,Dermatology,AR
PRV000158,1964783176,Dermatology,OR
PRV000159,1478284228,Dermatology,VT
PRV000160,1907315136,Family Medicine,AK
PRV000161,1318270501,Pediatrics,MN
PRV000162,1721415432,Pediatrics,NH
PRV000163,1789933795,Radiology,SC
PRV000164,1401385273,Psychiatry,VA
PRV000165,1978227618,Emergency Medicine,IN
PRV000166,1788393450,Cardiology,TN
PRV000167,1755703966,Internal Medicine,AR
PRV000168,1501680577,Cardiology,MD
PRV000169,1241080150,Family Medicine,ID
PRV000170,1873322485,Pediatrics,AK
PRV000171,1591464695,Internal Medicine,WA
PRV000172,1279989787,Family Medicine,CO
PRV000173,1553859340,Cardiology,DE
PRV000174,1596603566,Radiology,VT
PRV000175,1964355116,Cardiology,IA
PRV000176,1153781676,Orthopedics,MO
PRV000177,1630685747,Radiology,AK
PRV000178,1369769695,Orthopedics,VA
PRV000179,1901982763,Psychiatry,NC
PRV000180,1829931274,Pediatrics,MD
PRV000181,1867033545,OBGYN,SC
PRV000182,1527610766,Emergency Medicine,MA
PRV000183,1858877441,OBGYN,HI
PRV000184,1662550140,Cardiology,NY
PRV000185,1888972540,Dermatology,DE
PRV000186,1164226638,Radiology,WY
PRV000187,1258850800,Cardiology,HI
PRV000188,1821525259,Radiology,NH
PRV000189,1159101458,Cardiology,IL
PRV000190,1512559654,Internal Medicine,TX
PRV000191,1312584609,Family Medicine,NV
PRV000192,1200854118,OBGYN,VT
PRV000193,1437039783,Radiology,KS
PRV000194,1731746016,Internal Medicine,OK
PRV000195,1912426648,Psychiatry,HI
PRV000196,1626086025,Family Medicine,CT
PRV000197,1347127427,Cardiology,MA
PRV000198,1882597471,Family Medicine,CA
PRV000199,1790967201,Cardiology,AL
PRV000200,1110337714,Emergency Medicine,FL
PRV000201,1740212594,Emergency Medicine,VA
PRV000202,1062964695,Orthopedics,AZ
PRV000203,1899487986,Family Medicine,WA
PRV000204,1427759375,Cardiology,MS
PRV000205,1888958661,Cardiology,VA
PRV000206,1106992915,Dermatology,KS
PRV000207,1851643473,Internal Medicine,TX
PRV000208,1215013954,Emergency Medicine,OH
PRV000209,1034173294,Psychiatry,SC
PRV000210,1307958977,Emergency Medicine,WY
PRV000211,1750729340,Radiology,NJ
PRV000212,1682749652,Pediatrics,WA
PRV000213,1408379916,OBGYN,CO
PRV000214,1071219926,Internal Medicine,AK
PRV000215,1310856470,Internal Medicine,KY
PRV000216,1366717812,Internal Medicine,NE
PRV000217,1964915535,Cardiology,PA
PRV000218,1063758392,Radiology,KY
PRV000219,1838036805,Radiology,ID
PRV000220,1378586767,Internal Medicine,CO
PRV000221,1307152879,Family Medicine,CT
PRV000222,1643850508,Family Medicine,NY
PRV000223,1893522373,Cardiology,OK
PRV000224,1979012729,Emergency Medicine,IL
PRV000225,1667233558,Orthopedics,CA
PRV000226,1232686426,OBGYN,PA
PRV000227,1338703414,Emergency Medicine,NE
PRV000228,1085978143,Dermatology,TN
PRV000229,1641697731,Cardiology,KS
PRV000230,1441977061,Emergency Medicine,ME
PRV000231,1237325978,Pediatrics,KS
PRV000232,1160383478,Dermatology,IN
PRV000233,1209202228,Dermatology,RI
PRV000234,1129690761,OBGYN,AL
PRV000235,1195416688,Emergency Medicine,AZ
PRV000236,1675722628,Pediatrics,WA
PRV000237,1715668555,Pediatrics,ND
PRV000238,1424828803,Emergency Medicine,GA
PRV000239,1579653978,Pediatrics,MT
PRV000240,1306622179,OBGYN,CT
PRV000241,1267475106,Internal Medicine,GA
PRV000242,1895467991,Pediatrics,KY
PRV000243,1233789757,Family Medicine,WV
PRV000244,1676983569,Cardiology,OR
PRV000245,1752014984,Radiology,NV
PRV000246,1335890694,Radiology,UT
PRV000247,1319237165,Cardiology,TX
PRV000248,1762516783,Internal Medicine,VT
PRV000249,1201645329,Pediatrics,IA
PRV000250,1779613142,Family Medicine,NJ
PRV000251,1076492282,Family Medicine,OH
PRV000252,1823990155,Cardiology,GA
PRV000253,1378301207,Radiology,MN
PRV000254,1601305381,Psychiatry,GA
PRV000255,1583679703,Cardiology,WY
PRV000256,1539898705,OBGYN,VT
PRV000257,1124255717,Emergency Medicine,RI
PRV000258,1065777125,Radiology,WA
PRV000259,1067539136,Psychiatry,FL
PRV000260,1626729588,Pediatrics,WV
PRV000261,1185462455,Internal Medicine,KY
PRV000262,1176923653,Radiology,MD
PRV000263,1556855434,Cardiology,VA
PRV000264,1495288396,Radiology,KY
PRV000265,1071599941,Dermatology,KS
PRV000266,1085799219,Cardiology,CT
PRV000267,1892650680,Family Medicine,NV
PRV000268,1671187928,OBGYN,TN
PRV000269,1520611665,OBGYN,IN
PRV000270,1329243607,Radiology,CT
PRV000271,1594358235,OBGYN,MD
PRV000272,1376443792,Pediatrics,KY
PRV000273,1260963604,Cardiology,UT
PRV000274,1726418309,Emergency Medicine,GA
PRV000275,1319266975,Orthopedics,MT
PRV000276,1547869479,Family Medicine,CO
PRV000277,1524341109,Family Medicine,OK
PRV000278,1221205550,OBGYN,NH
PRV000279,1950865348,Psychiatry,NJ
PRV000280,1808623611,Family Medicine,AZ
PRV000281,1856213452,Cardiology,VA
PRV000282,1009594757,OBGYN,MI
PRV000283,1209515882,Pediatrics,DE
PRV000284,1794375415,Dermatology,MN
PRV000285,1496694190,Emergency Medicine,CA
PRV000286,1307946254,Radiology,SC
PRV000287,1396848876,Cardiology,MS
PRV000288,1014635982,Dermatology,MT
PRV000289,1700132140,OBGYN,GA
PRV000290,1210711681,Internal Medicine,SD
PRV000291,1950585169,Cardiology,WY
PRV000292,1393657593,Dermatology,ND
PRV000293,1126759456,Internal Medicine,AR
PRV000294,1162701974,Pediatrics,MN
PRV000295,1090982732,Cardiology,MA
PRV000296,1434243058,Cardiology,OH
PRV000297,1318883154,Internal Medicine,IN
